ExampleAAACTester
200000,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadA.csv
200001,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadB.csv
200002,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadC.csv
200003,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadD.csv
200004,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadE.csv
200005,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadF.csv
200006,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadG.csv
200007,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadH.csv
200008,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadI.csv
200009,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadJ.csv
200010,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadK.csv
200011,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadL.csv
200012,smash normalize,Words,Linear SVM,mc,../docs/aaac/Demos/loadM.csv
